Jurisdiction,Signature Date,Deposit Ratification Instrument,Entry into Force,Status
Albania,5/28/2019,9/22/2020,1/1/2021,Definitive
Algeria,6/27/2024,,,Provisional
Andorra,6/7/2017,9/29/2021,1/1/2022,Definitive
Argentina,6/7/2017,,,Provisional
Armenia,6/7/2017,9/25/2023,1/1/2024,Definitive
Australia,6/7/2017,9/26/2018,1/1/2019,Definitive
Austria,6/7/2017,9/22/2017,7/1/2018,Definitive
Azerbaijan,11/20/2023,9/24/2024,1/1/2025,Definitive
Bahrain,11/27/2020,2/23/2022,6/1/2022,Definitive
Barbados,1/24/2018,12/21/2020,4/1/2021,Definitive
Belgium,6/7/2017,6/26/2019,10/1/2019,Definitive
Belize,1/11/2019,4/7/2022,8/1/2022,Definitive
Bosnia and Herzegovina,10/30/2019,9/16/2020,1/1/2021,Definitive
Bulgaria,6/7/2017,9/16/2022,1/1/2023,Definitive
Burkina Faso,6/7/2017,10/30/2020,2/1/2021,Definitive
Cameroon,7/11/2017,4/21/2022,8/1/2022,Definitive
Canada,6/7/2017,8/29/2019,12/1/2019,Definitive
Chile,6/7/2017,11/26/2020,3/1/2021,Definitive
China (People's Republic of),6/7/2017,5/25/2022,9/1/2022,Definitive
Colombia,6/7/2017,,,Provisional
Costa Rica,6/7/2017,9/22/2020,1/1/2021,Definitive
Côte d'Ivoire,1/24/2018,9/25/2023,1/1/2024,Definitive
Croatia,6/7/2017,2/18/2021,6/1/2021,Definitive
Curaçao,6/7/2017,3/29/2019,7/1/2019,Definitive
Cyprus,6/7/2017,1/23/2020,5/1/2020,Definitive
Czechia,6/7/2017,5/13/2020,9/1/2020,Definitive
Democratic Republic of the Congo,9/19/2024,,,Provisional
Denmark,6/7/2017,9/30/2019,1/1/2020,Definitive
Egypt,6/7/2017,9/30/2020,1/1/2021,Definitive
Estonia,6/29/2018,1/15/2021,5/1/2021,Definitive
Eswatini,9/27/2023,,,Provisional
Fiji,6/7/2017,,,Provisional
Finland,6/7/2017,2/25/2019,6/1/2019,Definitive
